,Programa  de  CEDEAR,Alcance  Público  Inversor,Ratio  Cedear  /  valor  sub-yacente,ISIN  CEDEAR,Código  Caja  de  Valores,Id  de  mercado,Ticker  en  mercado  de  origen,ISIN  valor  subyacente,Valor  sub-yacente,País,Mercado  de  valor  subyacente,Frecuencia  de  pago  de  dividendo,Industra  o  sector,Sitio  web
0,3M CO,Calificado y No Calificado,5:1,ARDEUT110293,8033,MMM,MMM,US88579Y1010 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,Industrial,Link
1,ABBOTT LABORATORIES,Calificado y No Calificado,4:1,ARDEUT110608,8065,ABT,ABT,US0028241000 ISIN,Acción ordinaria,FINLANDIA,New York,Quarter,"Consumer, Non-cyclical",Link
2,ABBVIE INC,Calificado y No Calificado,10:1,ARBCOM4603M9,8528,ABBV,ABBV,US00287Y1091 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,"Consumer, Non-cyclical",Link
3,ABERCROMBIE & FITCH CO-CL A,Calificado y No Calificado,1:1,ARBCOM4601P6,8484,ANF,ANF,US0028962076 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Irreg,"Consumer, Cyclical",Link
4,ADECOAGRO SA,Calificado y No Calificado,1:2,ARBCOM460143,8498,ADGO,AGRO,LU0584671464 ISIN,Acción ordinaria,ARGENTINA,New York,None,"Consumer, Non-cyclical",Link
5,ADOBE INC,Calificado y No Calificado,22:1,ARBCOM460192,8470,ADBE,ADBE,US00724F1012 ISIN,Acción ordinaria,ESTADOS UNIDOS,NASDAQ GS,Irreg,Technology,Link
6,ADVANCED MICRO DEVICES,Calificado y No Calificado,1:2,ARBCOM4601M3,8481,AMD,AMD,US0079031078 ISIN,Acción ordinaria,ESTADOS UNIDOS,NASDAQ GS,None,Technology,Link
7,AEGON N.V.-NY REG SHR,Calificado y No Calificado,1:1,ARDEUT112398,8242,AEG,AEG,US0079241032 ISIN,NY Reg Shrs,Países Bajos,New York,Semi-Anl,Financial,Link
8,AGNICO EAGLE MINES LTD,Calificado y No Calificado,3:1,ARDEUT115383,8416,AEM,AEM,CA0084741085 ISIN,Acción ordinaria,CANADA,New York,Quarter,Basic Materials,Link
9,ALIBABA GROUP HOLDING-SP ADR,Calificado y No Calificado,9:1,ARBCOM4601T8,8523,BABA,BABA,US01609W1027 ISIN,ADR,CHINA,New York,None,Communications,Link
10,ALLERGAN PLC,Calificado y No Calificado,8:1,ARBCOM4601E0,8475,AGN,AGN,IE00BY9D5467 ISIN,Acción ordinaria,ESTADOS UNIDOS,,Quarter,"Consumer, Non-cyclical",Link
11,ALPHABET INC-CL A,Calificado y No Calificado,58:1,ARDEUT116159,8442,GOOGL,GOOGL,US02079K3059 ISIN,Acción ordinaria,ESTADOS UNIDOS,NASDAQ GS,None,Communications,Link
12,ALTRIA GROUP INC,Calificado y No Calificado,4:1,ARDEUT110327,8036,MO,MO,US02209S1033 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,"Consumer, Non-cyclical",Link
13,ALUMINUM CORP OF CHINA-ADR,Calificado y No Calificado,1:1,ARDEUT113990,8365,ACH,ACH,US0222761092 ISIN,ADR,CHINA,New York,Irreg,Basic Materials,Link
14,AMAZON.COM INC,Calificado y No Calificado,144:1,ARBCOM460176,8468,AMZN,AMZN,US0231351067 ISIN,Acción ordinaria,ESTADOS UNIDOS,NASDAQ GS,None,Communications,Link
15,AMBEV SA-ADR,Calificado y No Calificado,1:3,ARBCOM4601V4,8502,ABEV,ABEV,US02319V1035 ISIN,ADR,BRASIL,New York,Semi-Anl,"Consumer, Non-cyclical",Link
16,AMERICA MOVIL-SPN ADR CL L,Calificado y No Calificado,1:1,ARDEUT112646,8268,AMX,AMX,US02364W1053 ISIN,ADR,MEXICO,New York,Semi-Anl,Communications,Link
17,AMERICAN EXPRESS CO,Calificado y No Calificado,5:1,ARDEUT110046,8009,AXP,AXP,US0258161092 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,Financial,Link
18,AMERICAN INTERNATIONAL GROUP,Calificado y No Calificado,5:1,ARDEUT110640,8069,AIG,AIG,US0268747849 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,Financial,Link
19,AMGEN INC,Calificado y No Calificado,10:1,ARDEUT110665,8071,AMGN,AMGN,US0311621009 ISIN,Acción ordinaria,ESTADOS UNIDOS,NASDAQ GS,Quarter,"Consumer, Non-cyclical",Link
20,ANALOG DEVICES INC,Calificado y No Calificado,3:1,ARDEUT110616,8066,ADI,ADI,US0326541051 ISIN,Acción ordinaria,ESTADOS UNIDOS,NASDAQ GS,Quarter,Technology,Link
21,APPLE INC,Calificado y No Calificado,10:1,ARDEUT116183,8445,AAPL,AAPL,US0378331005 ISIN,Acción ordinaria,ESTADOS UNIDOS,NASDAQ GS,Quarter,Technology,Link
22,APPLIED MATERIALS INC,Calificado y No Calificado,5:1,ARDEUT110657,8070,AMAT,AMAT,US0382221051 ISIN,Acción ordinaria,ESTADOS UNIDOS,NASDAQ GS,Quarter,Technology,Link
